,x,y,z,s1,cs1,cs2_bottom,s2,cs2
2392834,39.94484,6.737748,-85.05533,371.7641,375.0982,1233.4453,4762.774,5106.8613
2392898,50.19494,-22.9607,-75.79399,968.9386,1056.9121,6692.2646,23660.402,26264.902
2392918,-38.22463,-37.604557,-118.778534,1976.6387,1712.764,17399.705,54875.14,68778.69
2393014,18.301046,44.040665,-32.45778,1396.6469,1662.9652,12621.401,43381.855,50535.945
2393061,-45.87069,-35.49675,-93.76823,636.0013,648.603,2232.3237,6292.971,8766.774
2393418,-27.21727,27.040207,-67.496086,1695.8884,1839.9434,10780.996,40278.477,43326.137
2393435,-25.498589,48.766716,-101.20274,7.2718616,7.1378675,393.7366,1361.5564,1620.913
2393489,8.528973,-30.878317,-79.05741,1496.566,1526.3802,9265.5205,33781.89,36958.676
2393889,-13.487868,-45.868256,-66.13643,862.7764,949.51953,4892.839,18762.88,19288.977
2394162,39.08012,-45.444485,-32.828285,542.87415,666.9603,3017.7285,11165.348,11642.596
2394268,-22.132833,21.161306,-14.15259,178.47627,211.57092,1205.9352,5071.423,4880.7837
2394485,25.648407,10.988207,-78.825554,1450.1465,1472.324,9944.854,42622.758,39677.258
2394572,-24.407188,17.001953,-132.23776,292.40903,216.27489,1298.7938,4578.4688,5226.98
2394591,-22.268486,3.820205,-55.65449,1030.3427,1126.1705,5139.8154,20536.543,21441.703
2394599,32.879524,-15.428261,-46.92944,211.05484,240.63066,1458.2583,5798.7393,5806.853
2394751,-6.321498,-20.656633,-78.731255,1325.9672,1336.2848,11927.938,49502.113,47194.652
2394917,-47.303627,17.473845,-14.283944,499.02887,614.3308,3106.428,12270.684,12186.158
2395079,10.965051,-40.653316,-66.01993,1490.7705,1623.4011,7331.9165,28039.049,29402.45
2395441,-45.09206,13.791035,-44.82209,371.4571,437.02496,1630.2924,6778.4624,6576.419
2395466,36.424553,3.2766678,-79.32445,1620.8629,1667.2543,8920.948,32065.285,35886.492
2395667,16.165316,29.129824,-92.06028,1181.676,1137.0994,9211.769,33948.92,37153.18
2395729,7.243295,6.8200965,-50.17788,1043.9009,1148.7772,6712.674,27969.234,27268.846
2395805,23.506502,54.007454,-111.77203,1761.959,1627.7131,6998.0645,22803.559,28252.078
2395920,-47.637863,32.277977,-53.549164,1060.3164,1261.0646,4234.3926,15228.441,17102.652
2395995,52.02548,24.045189,-123.942215,1950.5264,1655.9216,5807.09,18655.592,23660.943
2396098,39.530994,22.1918,-52.224747,347.52267,396.61096,1851.3419,6414.338,7476.7554
2396198,-5.9292383,-21.195387,-72.99645,1095.0154,1129.9214,5851.828,24561.502,23286.387
2396422,-36.210663,15.082027,-26.844006,579.7174,687.26917,2977.1008,12459.16,11849.696
2396474,-21.915958,17.021,-25.334234,1274.4479,1491.7648,10186.206,39362.496,41193.73
2396655,34.76978,-36.81044,-63.829685,342.82336,384.23486,2032.059,8082.2803,7927.4556
2397020,-46.2947,38.27449,-74.51379,661.2042,746.95044,2140.2837,7492.868,8769.036
2397037,24.881304,49.822945,-54.011406,845.38855,982.5679,4858.611,16370.169,18824.887
2397283,11.20363,27.327135,-132.0962,1301.8588,944.43756,6552.6167,22622.643,26511.451
2397345,-3.3356762,-13.629287,-25.238047,327.6878,374.28732,2062.812,9399.324,7989.033
2397565,40.38631,-42.149986,-90.91359,731.5119,748.3542,2724.156,10150.252,10978.958
2397642,46.527294,-14.266469,-13.761427,369.66,447.33185,2173.6265,8810.715,8638.093
2397763,33.377407,-44.61406,-78.60388,14.842638,15.950556,589.6182,2413.8022,2477.366
2397805,-0.88598275,0.647446,-61.276295,1022.0288,1087.3574,4324.5737,16939.518,17462.209
2397808,56.42972,3.9300556,-89.32201,1151.4269,1170.8446,3665.5642,12915.423,14990.414
2398082,9.302831,-58.210484,-98.44726,588.4639,590.53424,2036.6305,6760.1943,8268.542
2398206,-55.25531,6.1736526,-23.431139,1261.3579,1546.4113,9020.468,34993.305,36191.324
2398298,23.346968,38.00666,-36.377098,70.46953,83.03369,948.8664,3380.6987,3691.0613
2398468,-27.778519,-50.030293,-57.56906,401.9287,463.51855,2159.167,6852.893,8375.233
2398572,-47.07705,22.456863,-69.82112,1367.984,1537.1002,7411.0767,28609.762,29801.088
2398935,8.273777,-59.347164,-53.236237,611.5244,734.69366,2647.8215,9048.296,10760.541
2399769,-18.210512,-35.245884,-16.074718,533.5701,631.77795,4904.9683,19738.156,19730.79
2399896,42.924393,39.584587,-118.91016,133.88168,118.20035,1008.65765,3524.375,4272.2153
2399908,-58.2777,8.940178,-129.84502,1761.118,1507.0548,10109.337,35360.043,40573.86
2399981,-3.3691628,-50.61207,-15.638399,849.93646,1044.9368,6545.8374,24772.576,25565.62
2400371,44.503033,-2.2239296,-122.039795,972.8666,807.5546,4489.0303,17030.658,18204.709
2400401,39.795666,-3.7166522,-116.33361,1250.4203,1061.9374,6236.2173,23053.764,24573.129
2400492,11.238272,-59.634796,-17.418375,384.9525,494.3295,3468.4436,11293.482,14104.689
2400613,-40.729256,-19.39282,-34.249836,1025.5492,1216.6597,5364.336,18720.443,20730.785
2400636,0.729718,-3.501638,-80.608765,781.23615,769.3964,2365.5063,10261.417,9835.24
2400957,-9.938806,-8.324331,-61.476433,1527.4801,1625.0042,7008.2827,32396.258,28923.893
2400988,3.8659513,36.28257,-48.054665,10.295953,11.754559,462.75165,1838.711,1873.4266
2401045,-16.716303,-49.359203,-54.910034,147.94841,170.29272,1208.297,4376.747,4721.5835
2401087,10.439662,-4.759069,-39.4202,1151.6609,1292.8925,11227.91,47000.996,44939.84
2401175,31.666502,8.959504,-100.222176,1795.9926,1647.5161,6775.3833,22123.771,26395.39
2401309,-5.0841455,-40.982822,-36.447975,477.98703,560.46326,2163.0425,9760.01,8558.335
2401355,10.985704,1.7625679,-17.195288,635.18726,731.8642,3579.2004,15487.436,14589.556
2401691,-3.6542208,-20.267916,-89.738075,1702.0745,1620.463,9643.692,40352.266,38818.0
2401852,-56.1757,6.187347,-49.47925,1038.4628,1230.7762,7625.0806,29081.01,31019.871
2401901,-4.006661,-55.5354,-67.06786,1365.6631,1532.548,10156.778,36445.043,40356.83
2402080,10.63505,-52.84039,-103.47959,368.6089,354.25162,1906.7302,6357.1987,7609.3486
2402511,-49.70224,33.56905,-85.72412,497.3783,538.08374,1853.6881,6157.4814,7308.623
2402517,-29.689486,11.6464405,-76.46386,286.24103,298.1989,1481.9132,5540.902,5910.607
2402774,18.584011,18.307632,-37.9892,1312.2987,1498.4158,10133.718,41631.504,39716.5
2402933,21.922571,-43.14486,-95.5156,635.11,619.3592,3148.7627,12128.973,12842.357
2402981,-31.44996,5.411685,-19.038914,254.82556,299.04312,1530.9337,6375.588,6111.52
2403349,11.501133,25.431585,-29.669893,276.50754,320.24014,2204.451,8923.732,9192.152
2403359,29.702583,-51.543705,-71.27689,1377.6536,1555.6832,9875.432,35229.04,40152.145
2403729,-23.264381,31.038319,-112.21625,574.04987,498.98495,2871.601,10574.307,11353.068
2403740,-2.8201876,-37.055084,-42.008892,765.365,880.404,4977.7046,22171.354,19858.193
2403996,7.24077,4.509101,-101.701035,1676.905,1482.4963,8900.3955,31001.465,35058.26
2404236,5.9712744,-12.554297,-48.463985,1483.4246,1636.2401,7995.3896,35528.86,32184.89
2404607,-35.84723,12.818853,-128.93188,1897.386,1466.1123,10969.65,39907.492,43555.344
2405388,-4.7154403,-11.291063,-62.08056,1056.0759,1123.3235,6410.8936,28813.61,26406.732
2405810,-45.08934,-33.708847,-20.38898,93.91026,115.64936,1171.3933,3577.6226,4528.5703
2406060,-10.999031,-49.49576,-64.75734,1158.3613,1297.8365,10747.339,42947.207,43313.555
2406253,-29.708906,-3.6286173,-132.72072,1196.353,869.6587,3956.3496,13211.607,15930.695
2406295,-12.126693,-56.79138,-100.175865,1028.0051,998.58264,5279.275,18626.305,20608.102
2406612,-34.29538,29.231266,-127.746445,1335.2085,1083.4648,5070.9556,17134.645,19628.627
2406850,3.4620693,-22.399918,-19.17162,1226.9857,1417.7251,8331.187,37281.562,32899.98
2406907,17.701885,16.688736,-128.85419,1957.6226,1458.2476,12041.183,46248.38,47132.992
2406965,36.242912,-6.350279,-115.49202,1827.7218,1557.6001,9553.049,34998.586,37487.93
2407333,53.03352,19.247076,-91.438194,1304.9535,1330.2123,6952.186,23871.963,28203.334
2407737,13.241862,-13.732362,-67.587074,1430.93,1503.6786,10360.661,45285.2,42175.137
2407807,1.6189871,-52.3886,-57.96299,621.3588,716.9945,2703.0825,9932.073,10994.049
2408594,-10.018855,14.176415,-120.230995,1423.3407,1122.4249,8252.187,38025.273,33134.703
2408700,10.134376,-52.04337,-80.58292,449.99396,477.97778,1851.2317,6432.2603,7359.541
2408785,21.18982,-6.6849794,-36.879635,1410.2175,1601.025,9645.4,36489.05,38614.95
