,x,y,z,s1,cs1,cs2_bottom,s2,cs2
143,-7.87559,28.575264,-14.254245,512.17645,608.5654,3119.558,12343.882,13075.801
329,-35.160397,23.277012,-68.938354,751.73926,827.812,2753.8218,10899.045,11187.618
386,34.42719,-39.422752,-42.89267,847.01953,1010.82104,6351.1055,26038.262,25412.7
560,-20.226692,-1.768105,-99.40151,1422.4764,1289.2067,12728.738,59645.035,51487.45
563,13.250402,-29.079391,-48.801014,1296.5292,1461.0283,10229.664,44150.43,41030.125
627,12.997923,36.257187,-16.481676,519.7835,619.6901,2784.9336,10263.299,10637.3545
641,33.396847,16.16851,-123.982574,1696.1649,1361.4548,7122.661,23056.14,28116.688
713,-40.75761,-28.604876,-81.75984,577.48926,606.6166,2590.3557,8529.821,10215.983
895,13.555143,2.6454673,-18.448423,283.51868,328.0074,1486.6493,6631.095,5984.7764
1021,30.802052,49.219696,-91.9568,129.63188,132.41327,960.6479,3455.8994,4132.682
1061,0.39268234,-22.552101,-23.832561,1132.811,1310.007,11390.594,52268.734,45566.223
1068,21.307499,-3.927669,-56.446873,1219.9285,1333.342,4641.685,19569.393,18547.424
1375,47.783432,7.5934944,-85.879776,187.99507,191.75438,1400.8732,5187.7905,5650.099
1602,6.109739,-17.879286,-35.73659,285.11533,325.5399,1621.3463,7936.444,6975.884
1920,19.441706,27.73604,-56.32112,1148.0652,1275.6058,9107.068,35636.336,35727.29
1930,-22.026049,-27.846289,-93.30633,1126.7533,1083.2856,5642.746,21545.22,22221.83
1981,-30.178606,7.335587,-80.282745,1202.8378,1227.5801,8442.543,32947.29,33735.152
2219,10.684454,13.59431,-31.950045,1189.6931,1363.9395,10881.014,44270.97,43048.46
2230,55.600384,4.8945107,-131.62013,1194.0168,970.52356,4962.3203,16958.877,19875.605
2695,-11.103261,-18.150991,-97.74526,1703.2379,1555.0485,14533.805,58279.07,58966.652
2748,31.143864,-39.74595,-120.108284,903.4828,780.85333,3397.5044,12760.556,13270.402
2969,9.398516,-14.515413,-21.916304,749.186,867.1178,4568.941,20648.861,17760.83
3348,4.99285,25.217213,-27.912464,922.0409,1070.7262,6905.5723,27227.664,26979.71
3355,-8.844387,11.589657,-107.28085,400.5116,342.29367,1706.1495,6798.0337,6764.7456
3359,35.267124,45.58452,-127.39038,1072.7504,893.8428,4460.7065,15594.364,18970.113
3435,9.425933,-30.567131,-55.644634,1357.6078,1506.8959,7617.989,30166.56,30208.596
3893,-19.139015,4.949131,-18.070087,962.8326,1122.2993,4661.1846,18978.02,18090.588
4077,-3.688189,4.922456,-30.768253,932.0238,1063.683,8355.715,37331.96,34007.297
4164,18.339228,-52.623188,-99.73502,655.80396,643.8959,2670.4097,9138.818,10578.709
4220,13.177343,-41.740334,-81.205666,1404.9781,1464.6295,10575.966,39975.176,42362.93
4462,-4.929861,58.687634,-121.62973,967.1285,858.4809,3973.5881,12026.87,15481.585
4755,11.914293,22.140884,-66.167145,376.56595,401.00604,1919.7031,7585.42,7682.813
4779,-5.2042828,-3.149171,-33.54662,398.318,452.6625,1590.5212,7016.4478,6348.6816
4831,57.88819,9.119645,-97.974556,698.4344,691.3606,3073.5176,9638.75,11730.553
5234,-27.345215,15.636786,-89.56709,1173.1857,1150.0416,7260.9546,28117.059,28885.078
5302,36.71331,-39.578163,-84.71756,1092.805,1142.4277,9394.147,36337.953,37482.008
5325,-58.211655,15.156392,-35.037495,715.46893,898.4351,3354.8076,12363.394,13624.875
5395,-0.40435785,53.120506,-69.74977,205.55476,230.1004,1641.879,5657.9795,6661.4897
5439,-5.6562147,-19.436344,-121.39558,292.305,229.48975,1695.4495,6812.928,6710.696
5599,-35.275482,5.50996,-129.27701,1092.7336,838.0472,3898.3066,14510.902,15578.151
5708,-37.4247,42.321304,-53.56928,1387.3514,1655.6946,11636.586,42379.008,46272.984
6102,-10.377258,48.08259,-38.1323,980.5815,1181.0201,7344.5386,25760.924,29214.775
6200,-29.056635,-43.33801,-23.374304,946.90155,1158.521,6748.299,24799.58,26865.074
6276,6.9041376,-18.739807,-98.165245,309.7567,283.0007,1535.995,6549.0454,6162.706
6366,23.391727,-30.484299,-117.65141,1299.819,1095.5842,4968.8804,19839.748,19873.408
6376,-27.226156,26.236855,-84.498924,149.35571,152.56062,1036.2847,3771.7034,4177.5537
6497,1.7458775,1.6676782,-128.61841,2372.2976,1747.1064,13729.02,49814.895,54201.508
6590,-1.8446866,37.65723,-51.588764,524.25494,597.19055,2943.507,10478.681,12023.95
6726,17.381544,40.88732,-59.602566,1028.7216,1159.7853,6693.1006,24516.184,26545.133
6984,7.5204453,-29.072388,-41.655396,1340.817,1529.1353,9029.805,34571.496,35198.977
7030,4.0308623,-8.084947,-49.164974,853.8675,945.76984,6219.0693,28077.824,24731.326
7042,40.869144,-29.410566,-116.55913,167.50162,148.04588,1057.6974,3701.5518,4203.202
7063,25.442856,-31.157888,-67.10971,856.7823,936.4615,5547.728,24594.037,22667.01
7344,-23.16696,4.3316717,-33.430183,1288.2288,1482.3556,6390.3584,24673.291,25043.178
7366,29.230173,14.824311,-59.430912,872.13617,957.738,4756.085,18933.422,18188.713
7404,-1.4904027,15.268798,-116.9673,177.09236,142.44327,940.1032,3621.06,3638.034
7454,-25.701193,-50.46642,-33.611286,713.8082,867.3951,4687.3735,16573.006,18695.45
7488,-42.140484,9.881099,-87.83012,1378.8871,1408.5532,7759.047,29375.188,29998.033
7615,36.815342,-45.734432,-20.984602,59.56469,74.11778,648.0553,2556.0525,2592.1045
7650,-29.50459,-4.8582416,-133.00693,470.49127,343.20715,1837.388,6415.063,7651.201
7914,14.854651,-3.3993618,-49.75472,1058.8381,1172.1337,13708.299,61601.047,55295.51
7959,9.295402,-19.487127,-103.52009,1439.4474,1273.7699,10106.183,43206.21,40529.457
8226,-1.5928458,27.745249,-45.26759,1247.6871,1420.1982,10045.801,47393.98,40752.836
8251,39.259224,40.548126,-18.2979,94.255035,116.07133,939.8951,3767.2712,3986.017
8257,19.260334,-0.4030643,-131.2412,1196.3234,886.8627,5054.076,24954.549,20275.828
8408,-7.7282424,29.95618,-54.807365,896.2987,998.9108,6420.888,22794.924,26002.303
8468,6.0158896,18.215645,-16.289843,1507.7903,1760.0472,11307.165,49741.2,46245.74
8841,-18.542274,3.9202406,-35.260918,667.6517,764.47546,4768.88,22665.03,19379.863
9114,-18.84263,31.181515,-38.64449,642.75214,753.60864,3795.2676,15369.049,14779.265
9325,-0.37561616,-4.2753906,-89.56777,604.95734,572.13776,2681.7998,10910.056,10391.989
9385,5.6729217,-46.78122,-36.56306,864.09796,1027.9344,3939.5486,16225.893,16324.639
9489,-38.40773,15.7622595,-108.1084,104.77476,95.5104,908.3205,3611.3054,3807.4546
9620,-28.121191,-8.598629,-113.47499,237.68016,200.31503,1424.0502,4952.0757,5600.706
10272,35.181213,48.523,-82.97883,937.0083,1001.31195,5336.9233,17979.426,21114.893
10286,-13.042882,45.5613,-108.04043,106.96796,98.01438,1111.6176,3670.9448,4401.729
10540,-18.97297,-6.9957433,-118.280174,1072.6095,858.6848,4441.654,19872.137,17984.19
10898,23.00255,-42.189034,-70.864876,1496.4856,1632.9255,14642.94,57465.832,58603.242
11104,19.026546,-53.06512,-90.1449,1534.7617,1571.2017,11389.989,39719.062,45404.688
11118,41.899864,16.650974,-82.40602,1518.5887,1562.1055,8410.643,30542.805,34131.137
11121,-25.615839,20.249886,-50.49317,738.3449,837.6465,3278.2258,13068.16,13122.505
11364,28.74895,18.650572,-74.90812,357.8042,376.3871,2337.6372,9623.457,9269.899
11676,-10.485956,4.520777,-121.73361,840.9317,651.69617,3406.2427,13647.584,13941.67
11820,-22.653702,-7.3162704,-102.611404,176.87027,158.3113,1502.0447,6664.161,5866.7886
12255,26.796352,-50.062794,-78.10148,38.49117,41.941185,728.4275,2641.8345,2986.2024
12385,22.441412,36.706234,-29.503101,1313.949,1562.0337,11491.494,44163.33,46825.418
12865,6.0290833,57.499477,-13.705065,33.595707,43.081364,810.1502,2783.2695,3293.0095
13579,13.852061,-0.34057772,-91.50623,1333.3176,1259.9254,9962.127,41130.49,39188.895
13663,13.522648,-40.41631,-16.275194,1377.6464,1652.9084,9707.515,39508.04,38392.484
13694,55.573277,-24.374165,-113.98144,1539.1106,1452.26,7109.1724,24244.305,28434.316
13822,-4.629667,6.415729,-60.16315,141.91266,152.89798,1085.2521,4780.8564,4474.2227
14192,-33.564613,-41.66276,-59.223217,1508.0999,1721.8582,13542.358,47785.746,54062.758
14346,20.752682,-18.974688,-36.4826,243.51106,280.05853,1693.536,6854.656,6680.041
14360,-45.1036,31.936724,-79.29927,1413.5936,1540.1976,8383.007,30108.947,33993.918
14448,-43.513573,-35.40727,-27.976252,1020.56934,1257.1168,9837.075,32002.72,39975.473
14492,-54.118385,22.174128,-35.34941,371.86047,464.59256,2668.6602,10081.099,10745.643
15083,-23.315771,24.206131,-104.56046,1017.08685,923.3292,5026.7085,18283.576,20143.03
15084,-5.0295887,-26.540472,-110.58687,639.95264,543.36774,2698.411,10141.315,10800.141
15199,-6.1260705,6.485742,-116.54279,2051.3076,1644.8019,13682.654,53143.008,54191.12
15205,-22.933136,11.627429,-59.359226,1482.4757,1633.3668,5967.263,25220.406,24233.98
15432,-1.6256537,57.39041,-80.529655,8.407363,9.022231,515.23737,1652.266,2063.1196
15742,-57.380825,1.897791,-92.7155,497.59296,509.806,2580.0776,9087.941,10399.201
15779,-15.982531,-27.71204,-50.372276,1436.2719,1609.9423,5111.478,20594.91,20815.533
15800,10.545144,4.1792817,-70.144714,206.7241,214.62,1439.9592,6017.3623,6007.182
15819,-7.689114,3.7506409,-23.249023,1517.1398,1746.4314,16951.309,72706.055,66838.71
16377,-57.971783,16.374306,-82.96391,821.46234,912.7005,5527.3735,19642.3,22220.818
16437,27.9845,7.7180037,-99.338196,230.7917,213.11412,1059.2144,3674.2756,4355.515
16482,-11.078835,7.5805583,-26.705294,856.1286,984.62146,3667.8762,17958.49,14288.482
16670,-31.452812,-15.149074,-70.45164,1287.7904,1373.4747,7509.696,25416.803,28753.807
16745,-2.5582244,-22.425673,-34.738537,912.3209,1042.9125,7633.614,33279.305,30777.332
16768,34.97265,15.72847,-39.038624,1423.8073,1647.4084,12181.172,44782.637,48430.582
16856,-18.162697,45.452614,-43.83848,1296.2518,1547.3954,8342.6,30266.762,33500.598
16889,-25.345417,-31.148077,-40.525177,117.150604,136.01143,1233.5801,4643.1157,4731.55
16906,-23.555828,35.19391,-129.48154,1373.0304,1086.67,6619.53,23791.98,26613.404
17108,11.613923,50.785637,-63.398426,752.1871,860.809,4971.543,18565.996,20247.713
17137,22.18246,-50.162075,-122.19889,1400.3817,1211.9602,9177.74,31326.7,36624.305
17580,-38.746067,-26.359856,-27.488632,456.31912,547.4465,2676.5073,9129.366,10360.433
17804,24.289091,11.82889,-92.839836,223.97255,213.73701,1685.4989,7333.656,6572.957
17930,28.799479,2.4701703,-86.09996,352.29987,347.2464,2100.6475,7493.704,8374.085
17949,1.8217753,36.224365,-41.688877,1390.1875,1615.0615,11069.071,49573.44,45206.145
17961,37.67024,-11.212075,-38.28384,937.46515,1094.429,5835.4434,24187.738,23189.713
17983,-39.58872,-4.823383,-121.19868,1473.3916,1209.2329,8476.283,30051.057,33979.277
18253,25.74314,2.3765192,-89.65471,1460.0739,1410.8406,8194.145,29045.797,32623.275
18579,55.14997,19.645634,-123.18007,395.7892,343.20627,1713.6985,5291.8887,6634.203
18751,-23.30847,-15.927292,-45.593952,434.20203,491.51147,3231.3962,13741.411,12778.786
18798,-23.495953,16.287668,-38.901733,492.9452,569.5617,2149.1633,8145.509,8204.128
19007,53.334618,-4.845,-90.81187,494.4722,506.3389,2879.4321,10310.084,11265.398
19038,4.0724874,-48.663956,-15.944309,1431.56,1746.5522,11598.866,45223.066,45341.39
19160,59.794796,-1.0128236,-132.04997,334.96878,279.72375,1462.2218,4670.564,5745.07
19928,-25.637186,33.629486,-105.71357,1717.6404,1594.0298,8443.33,31624.174,33848.688
20181,19.782022,-49.6129,-84.253296,668.7628,703.17804,2095.2612,7397.338,8247.467
20582,-39.662285,-40.807682,-61.76594,1392.7761,1592.794,11310.709,41403.22,45086.84
20802,35.26623,48.09963,-14.892457,1278.376,1603.1748,6848.328,24437.797,27993.459
21103,-53.23945,10.669327,-93.64538,848.7128,867.5132,3886.6807,13707.127,15021.443
21131,-21.957865,4.39403,-73.8529,1210.9332,1250.4397,8006.604,30546.645,32677.082
21207,-33.76229,3.0470767,-41.41206,1361.9253,1573.3278,11232.639,45676.496,44627.285
21250,-47.386913,-16.264126,-83.68758,440.00867,458.12888,2158.5002,7326.758,8368.398
21413,6.204153,-12.7346115,-59.59055,857.5487,925.0847,5014.3457,22262.768,19994.197
21725,-25.149742,16.994577,-76.59609,871.71625,902.5861,5023.5654,18601.719,19785.57
21952,49.50006,-3.4545271,-122.26126,280.68747,237.59158,1393.2769,5254.779,5776.5
22079,-20.200996,21.618462,-105.4707,335.55023,299.75827,1625.2477,5807.1997,6310.3184
22141,14.06508,32.05529,-74.90454,723.1335,760.55554,5084.8555,18737.998,20038.498
22168,9.54411,-49.20361,-24.063614,1220.4644,1487.4532,11824.714,44248.676,47073.66
22436,44.447426,37.470345,-93.21986,51.110794,52.121925,681.378,2274.386,2866.453
22551,8.495457,45.14286,-71.53657,7.9310327,8.628397,237.14508,878.9054,984.24036
22712,-38.476444,-45.974865,-84.803825,1247.8732,1321.5419,9937.604,32787.23,40687.586
23193,-6.7291365,-17.256939,-82.335014,319.0904,316.2596,1758.5845,7170.266,6783.5103
23293,20.77113,-23.065178,-109.55843,1373.1655,1200.7374,6161.928,25683.447,24770.154
23314,15.083583,-5.6676793,-92.38981,249.25008,234.46458,1465.8954,6798.3047,5952.279
23341,38.762886,36.94423,-45.52537,755.93005,899.2098,4617.307,17551.707,18574.734
23387,-43.878525,22.878893,-21.032257,912.0455,1123.2286,3886.4067,15597.758,15526.252
23496,29.714733,26.099138,-62.127335,1464.3416,1612.8652,6326.386,24854.58,25311.277
23899,-46.22958,-5.3704214,-103.97909,1755.0408,1642.7725,11327.751,41986.43,46066.22
23905,-27.757605,-6.2373495,-114.09396,1629.3496,1362.672,10197.937,34197.4,41624.25
23947,-31.475346,-9.136553,-37.746067,959.07135,1109.437,5188.244,19594.002,20759.445
23949,-34.664467,13.311188,-107.87053,227.92522,203.90324,1415.3462,5479.3115,5849.057
24026,-12.174191,-7.346464,-86.051765,1789.0338,1730.7712,11171.918,49988.973,45010.566
24292,44.594627,-5.993135,-39.569374,801.2769,945.64264,4972.545,21390.09,20162.879
24413,-34.111248,-34.472725,-40.590244,1361.0919,1609.1404,5134.1206,18875.54,20651.61
25175,31.11789,-18.459146,-48.603848,967.03326,1105.8956,8088.2017,31596.234,31723.318
25222,40.07081,27.452126,-45.731586,1044.2217,1221.8842,8435.603,28412.893,33971.242
25268,50.408367,-20.946957,-47.389656,929.8762,1115.6814,6066.6772,22945.727,24529.709
25316,-46.643036,-7.981378,-19.215696,585.4119,708.01294,3191.1538,12507.927,12516.959
25428,16.186388,-57.303936,-36.176895,1072.4727,1331.0804,8721.803,27108.348,34051.453
25537,-31.962276,-48.986137,-69.64994,225.4483,250.90935,1360.7115,4461.483,5465.1167
25587,38.06689,-26.651066,-58.92898,1068.7039,1211.5962,6950.0215,25858.033,27671.555
25730,44.481194,-10.157782,-66.84444,1443.1648,1602.2433,7632.596,30240.852,30442.873
25734,37.93409,-5.2652082,-23.65173,1403.3287,1659.3177,11822.3545,50588.785,47744.082
25850,26.23865,-37.491955,-16.82424,387.1145,465.9083,2500.4438,11144.159,10076.105
25863,19.053793,31.004335,-66.89068,1706.491,1846.9863,10038.908,38949.664,41079.28
26152,31.067242,-37.493244,-112.37481,1497.5533,1343.2915,8032.7363,31272.574,31943.82
26290,-39.54596,-30.377388,-14.021099,453.11792,555.6875,2088.8936,7674.3486,8157.7944
26515,11.538029,49.169384,-71.01209,716.5154,792.41315,4321.37,15061.7,17418.928
26546,18.225437,-4.2868586,-133.81334,9.403476,6.871027,273.82416,1351.4149,1239.1943
26602,19.978142,34.23277,-59.350048,1193.8906,1328.0952,12842.426,46528.582,51366.24
26632,14.337059,52.109497,-21.69072,134.01807,165.9608,1826.8992,6710.9116,7291.249
26773,27.336807,40.844837,-127.92545,2172.103,1747.5571,14781.127,48335.773,59886.035
26776,-11.980664,-7.2517586,-41.787697,321.46667,362.46396,1685.9011,7862.9863,6696.0283
26987,-31.6431,-4.288467,-72.9918,224.20575,235.44128,1544.0372,5695.2607,6114.537
27076,-36.65862,16.52583,-102.34208,1449.5052,1359.2975,8322.949,31916.969,33483.77
27234,56.516453,-19.306948,-48.573807,548.20416,682.8673,3426.239,12848.815,14035.174
27391,2.301682,10.308244,-36.276794,291.28793,330.74356,1934.5066,8599.806,7752.9487
27405,-0.3108631,-17.26414,-44.705925,1368.483,1532.3011,13645.562,61905.05,54629.043
27419,-51.434574,10.314358,-68.283264,1327.4,1491.705,9773.615,36522.75,38085.832
27572,3.3917437,48.338417,-111.28522,1448.5886,1303.8987,6470.756,22250.354,25565.635
27672,58.23802,3.1214597,-31.284157,550.5283,672.4665,3158.5503,11484.841,13065.432
27850,-55.04308,-8.999725,-133.77223,2155.8716,1740.8914,11351.435,37058.742,44435.34
27989,58.543667,-4.384586,-115.486626,1811.2859,1655.5137,13864.578,46549.37,55377.984
28667,38.186558,-35.421764,-121.70945,663.03973,573.5885,2779.3296,9711.4375,10752.994
28691,48.555054,18.64769,-52.28435,646.6075,750.7907,3724.0361,13345.505,15077.627
28998,-4.287745,-21.204119,-77.05172,666.6187,676.4034,4144.4136,16661.006,16247.358
29094,-28.718355,-8.229841,-107.05506,1746.0393,1529.0693,11257.841,40541.945,45487.156
29263,43.932793,20.426289,-57.300545,1053.9728,1201.2051,5572.8706,20009.46,22560.701
29301,21.169767,-24.672968,-35.27138,901.82886,1045.8165,5625.3975,24840.047,22334.598
29356,28.346226,34.515076,-58.9873,305.46402,344.35452,1890.5715,7295.6226,7646.905
29419,19.816143,-46.11953,-44.898094,1024.305,1211.7119,5920.9565,23761.62,24080.447
29896,-35.763092,45.73026,-119.17975,1371.9784,1251.981,5849.7,19645.32,23241.238
29960,23.471415,52.274235,-120.57059,431.8152,377.5124,2075.2314,6519.925,8042.54
30120,-56.187237,10.80544,-92.20567,729.4656,755.3923,2781.3364,10255.025,11521.635
30596,-57.52656,-12.72631,-67.706955,159.962,180.85092,1458.9962,5122.4653,5811.5435
30607,-35.812824,11.560489,-24.707226,121.214516,144.19316,1249.421,5193.095,4804.449
30667,1.4086305,-3.905596,-97.35632,103.70421,93.94814,731.7982,3204.779,2993.8145
30771,-18.536905,-12.714705,-37.103397,592.88104,675.55884,2837.2864,13581.493,11925.892
30914,-21.144228,26.119083,-75.53256,1525.6168,1611.2623,12047.237,45494.594,47916.324
30917,-28.00289,-41.156746,-81.91307,591.05347,615.9119,2572.064,9342.926,10211.041
30937,4.9755526,10.307281,-57.945644,745.0969,805.6829,3357.5525,14243.443,13030.53
31111,-9.655972,47.63558,-106.84933,1952.942,1814.6984,10431.527,35807.67,43008.18
31332,18.618385,-29.591934,-54.10496,303.73813,341.03983,1937.9954,8417.544,7762.4824
31357,-47.582756,32.179134,-98.24638,1621.2568,1658.9601,8748.4375,30281.111,35604.33
31432,15.816713,-32.80141,-116.41589,90.315346,76.31714,1042.4628,4383.704,4332.1504
31570,-28.101385,-34.68847,-38.344048,829.8903,977.17065,5435.9966,18660.293,21513.627
31742,-19.80739,14.842299,-58.560837,671.9667,737.2829,3954.738,14444.714,15532.172
31881,14.819504,36.36334,-28.310377,343.5134,405.6553,1736.0736,6576.027,7099.587
32236,-25.328634,47.17153,-107.07896,743.68915,710.1088,4383.9775,14547.267,17700.453
32242,25.14457,-20.441803,-78.511406,1363.289,1404.593,8905.196,37018.656,36293.27
32264,-52.990852,8.987815,-33.259613,94.501564,115.56082,965.5908,3779.9846,3802.8103
32407,-23.061228,-30.287691,-23.060497,718.874,848.5639,4013.849,16044.498,15953.6
32430,-29.841658,-48.04347,-37.64684,1068.6967,1290.6206,6511.7627,23162.865,26432.117
32439,-55.058258,-8.847172,-133.0188,1851.629,1494.6262,9206.96,30760.719,36701.79
32485,-11.698181,-48.440083,-90.809975,1385.8273,1388.2233,9173.536,32224.348,36055.785
32573,49.45073,25.236347,-57.299465,1397.432,1615.6082,10915.519,37655.875,44183.293
32625,16.465343,-57.56533,-58.263702,352.9982,416.76334,2266.7517,6632.6733,8565.743
33514,13.510822,-4.064583,-105.6001,306.4107,265.5646,1570.7269,6619.8486,6538.015
33532,-22.905617,-46.09589,-56.498306,381.85184,438.63654,1966.0457,7785.411,8305.95
33554,22.389849,27.11999,-65.19602,1445.4474,1568.9215,6189.006,24024.615,24750.217
34415,32.837948,-18.40571,-98.49552,161.95235,152.37727,963.284,3401.5706,3775.897
34426,-46.029686,30.812235,-17.592052,570.1257,719.4401,3028.361,11537.062,12427.302
34440,-22.672348,-9.0597,-94.94023,1349.7,1268.2201,9749.921,45489.316,38701.664
34692,-42.614468,-35.456646,-77.09951,1541.1674,1670.9318,8452.373,32575.477,34161.32
34699,-31.954689,23.616177,-17.936167,1317.9495,1589.4037,9121.279,36867.348,35911.113
34861,-2.9002795,49.649258,-91.05196,1550.2036,1565.0111,12261.121,43606.668,49423.32
34882,-9.922504,46.065296,-35.19389,487.9953,586.8465,2627.2654,9362.631,10441.763
34890,-51.069736,31.67245,-56.208397,1483.1882,1784.2916,8364.771,29494.531,33453.99
34899,-7.3239985,-53.12158,-18.130363,190.93663,237.24153,1539.6116,5162.16,6104.9336
35117,-13.287028,-51.980736,-34.435326,672.4237,819.0928,4498.9023,17158.23,17857.875
35253,0.27726784,-43.887123,-14.4360895,949.16095,1148.6248,8199.046,32051.42,32502.818
35273,4.811588,-24.361723,-82.0912,29.570807,29.537453,630.1793,2930.8872,2480.0088
35280,19.399462,41.28834,-66.74866,1211.1809,1334.7795,5470.913,18331.559,21713.463
35435,43.872135,21.664469,-32.224567,622.12506,742.98126,3103.1206,11544.802,12505.471
35505,40.22127,32.149628,-22.120626,668.3973,817.65717,3748.4067,13462.236,14768.815
35922,20.631544,-47.688,-63.868767,963.94543,1088.8066,7556.864,28706.422,29872.613
36000,-9.711991,-17.222647,-24.313364,826.31445,956.331,6137.278,28039.809,25334.346
36058,11.518668,49.34199,-34.30073,1135.5369,1379.894,9453.368,34842.64,36991.75
36088,-25.537628,-42.57624,-22.487623,835.63324,1013.8451,5828.8213,22886.268,23442.781
36128,5.037065,-47.39407,-44.260017,165.09404,194.42325,1218.6913,4623.673,4725.7646
36277,-13.117701,-46.45597,-45.249905,444.5736,520.36694,2211.9822,8308.011,8515.8
36494,39.427338,-13.385103,-57.62279,1640.2971,1854.8324,12413.459,48330.414,48933.48
36521,19.33655,16.512833,-109.93529,1157.5142,989.2136,5210.029,20783.982,20715.299
36775,-14.895367,-29.347414,-98.22613,734.47955,684.0397,5331.2544,20210.906,21578.176
36846,19.284918,-57.317425,-113.363815,1700.4794,1578.6023,8193.019,23530.484,31463.693
37131,-31.884205,-10.061198,-87.30376,97.58064,96.87647,1138.632,4005.0127,4575.1177
37415,-29.70623,-40.831085,-81.640976,1492.9073,1568.5833,10514.273,38502.875,42014.96
37760,-49.842762,-0.36960167,-100.03101,452.91895,442.47818,2126.3071,7680.1943,8519.731
38599,-59.295673,-12.567368,-22.395824,182.53873,229.11086,1113.0116,3773.4978,4194.164
38771,40.030945,18.765263,-91.2608,871.5921,864.8584,5280.9517,17920.805,21268.41
38889,48.193382,30.994635,-20.261812,1445.9135,1796.4929,15243.498,52471.426,59035.953
38990,14.903353,0.81670463,-91.46081,852.4994,809.471,4917.553,19172.787,19428.344
39056,-9.037846,43.43562,-129.61653,1659.261,1297.4655,10916.858,36021.117,43273.48
39112,35.164913,38.65936,-104.90998,1135.563,1063.5222,8039.8857,28293.436,32786.14
39326,49.043964,14.125813,-58.04642,104.85594,120.035645,1104.1646,3608.9944,4190.73
39465,6.4052796,7.575383,-68.965965,35.41262,36.963737,774.1503,3306.1401,3096.7673
39785,-28.510271,-48.48506,-96.20782,1068.0012,1054.6201,5971.4976,20302.473,23672.535
39798,-13.069984,31.946074,-91.776375,603.00684,589.8014,1854.9795,6911.4546,7350.5137
39804,-43.558414,40.286446,-126.70141,709.3817,629.67664,2601.718,8185.2573,10382.791
39905,-8.917802,26.95756,-101.49549,1721.1721,1570.6418,7208.9795,25989.756,29505.828
39920,-1.2801949,-36.045185,-131.52536,1739.6399,1311.4336,7549.6426,29295.062,29851.355
39966,41.16131,2.1557934,-83.12577,1596.5637,1640.8024,4725.698,16924.268,18995.504
40157,-26.67104,53.93333,-113.006134,802.52765,762.68243,3312.0574,10690.227,13171.059
40226,-13.989364,-24.80515,-105.04302,962.8419,852.83856,3732.0767,14799.55,15151.169
40334,4.7879024,21.511595,-82.20575,971.9723,967.0145,5764.0747,22477.066,23227.91
40895,39.80141,39.80691,-129.08875,1705.6813,1392.1705,12014.115,38874.97,48303.754
41118,36.30816,-11.088117,-116.856674,1737.822,1471.9418,10559.964,39954.312,42639.758
41159,-2.9747114,-3.6271267,-86.21552,528.6095,509.4422,2606.0273,11017.587,10606.148
41299,-7.9318748,26.810474,-39.519695,761.8475,877.30145,4406.0405,16369.291,17392.307
41361,33.026337,-50.87766,-122.20389,1931.7771,1739.4673,11533.84,39457.824,46078.223
41619,-19.953457,20.600466,-122.14415,177.50008,141.67805,998.27246,3814.8386,4078.5771
41731,-48.507343,-28.107824,-29.484135,1360.1396,1673.7378,10781.596,38085.953,41926.633
41805,43.157196,26.90047,-62.382214,322.80313,366.28146,1597.7734,5397.6694,6581.296
41988,15.557046,43.360794,-108.49659,73.11466,66.336266,646.5135,1969.968,2489.7354
42094,19.976011,24.349234,-41.949223,244.35083,278.727,1409.8293,5723.624,5567.3755
42099,55.43535,-6.433474,-97.687546,970.10583,965.24097,3291.7556,11503.878,13015.242
42325,-58.58163,-7.122791,-68.84358,711.29254,806.25073,3950.8218,14046.654,15760.009
42332,-4.8862367,32.765266,-59.206203,1070.6301,1183.9017,7444.716,25284.742,29753.291
42337,0.21354064,38.495007,-33.204193,1505.9825,1775.2903,5952.598,22179.174,23888.684
42621,38.047417,-10.315453,-92.39777,1727.3971,1682.115,11194.124,43078.59,43944.48
42694,-8.638593,50.84748,-70.82626,1641.7292,1817.8044,12602.098,44916.27,51568.74
42987,-27.488916,53.278004,-87.70801,1023.72516,1098.2399,5386.564,18157.09,21714.96
43266,20.821682,28.164488,-108.298615,2042.8246,1798.9675,11240.76,41890.31,45139.46
43270,2.0785387,-51.04558,-51.877865,333.4451,391.9336,1698.4276,6560.3506,6866.8633
43289,31.166964,37.472694,-49.48499,895.5993,1040.796,7087.3887,26256.6,28797.463
43334,-15.196539,-43.697388,-118.979546,58.91433,49.865276,790.11017,2843.4675,3099.2798
43379,6.8219433,-55.70584,-95.31837,1743.2528,1759.1262,14191.106,48874.598,56378.996
43399,13.660009,51.67564,-36.662018,766.23785,932.44586,2372.66,8527.027,9664.202
43499,-34.779873,30.220304,-62.86923,630.2168,711.26324,3671.3755,12987.392,14489.65
43804,-34.409782,45.122826,-45.31045,1408.6029,1721.8069,12532.464,46195.04,50028.766
43966,-26.277346,19.049952,-109.43997,1444.7823,1266.7151,8051.159,29378.06,32377.295
44509,14.736952,21.635326,-106.27503,1843.2665,1623.285,8010.861,29573.227,31395.393
44555,22.377293,0.5390007,-49.379692,375.78494,418.46088,1634.733,7559.5894,6546.7456
44571,47.45909,-30.637552,-108.16308,185.00786,173.10759,1325.5417,4489.072,5257.3125
44713,-26.48989,-40.38119,-57.06308,1310.7697,1492.4032,7647.429,28082.05,30328.61
